dataset,transforms,acc_mean,acc_std,f1_mean,rocket_time_mean,clf_fit_time_mean,clf_pred_time_mean,combo_total_time,dataset_total_time
SemgHandMovementCh2,TIME+DWT+DCT+HLB+DT1,0.758962962962963,0.016617045473679978,0.7592537253747081,2.02886217435201,0.4421237309773763,0.10433096090952555,88.5343906879425,88.7880232334137
SemgHandSubjectCh2,TIME+DWT+DCT+HLB+DT1,0.9255555555555556,0.014926431385614738,0.9251894074903381,2.011827147801717,0.4369651953379313,0.1078728437423706,87.95852780342102,88.21952843666077
ShapeletSim,TIME+DWT+DCT+HLB+DT1,0.9883333333333332,0.013933262448871615,0.9883230422445224,0.23197295347849525,0.02732090950012207,0.04671989281972249,11.996742486953735,12.050671577453613
ShapesAll,TIME+DWT+DCT+HLB+DT1,0.9416111111111112,0.01287031707955926,0.940368887399026,0.9504345814387005,0.6291216055552165,0.1476435661315918,65.20830702781677,65.36236882209778
SmallKitchenAppliances,TIME+DWT+DCT+HLB+DT1,0.8168888888888888,0.016714893189039154,0.8160489600044097,0.8414735078811646,0.36061140696207683,0.09164023399353027,48.64880871772766,48.784886598587036
SmoothSubspace,TIME+DWT+DCT+HLB+DT1,0.9748888888888889,0.011506305303110772,0.9747853450017014,0.09213774204254152,0.14864583015441896,0.040710886319478355,12.387125253677368,12.408928155899048
SonyAIBORobotSurface1,TIME+DWT+DCT+HLB+DT1,0.9551858014420411,0.025737276841176198,0.9548137232430912,0.18465084075927735,0.017789872487386067,0.14965186913808187,16.71737313270569,16.748892307281494
SonyAIBORobotSurface2,TIME+DWT+DCT+HLB+DT1,0.9419027632039174,0.02748396309052998,0.9387678692445471,0.2334158182144165,0.029065275192260744,0.23877421220143635,23.56883716583252,23.615772485733032
StarLightCurves,TIME+DWT+DCT+HLB+DT1,0.9820463007932653,0.0009922339787803683,0.9729057570318819,12.363827571868896,1.1230973561604818,1.8664642492930095,533.5675518512726,535.1936318874359
Strawberry,TIME+DWT+DCT+HLB+DT1,0.9801801801801802,0.00499979709027445,0.9785049846731261,0.47663228670756014,0.603494381904602,0.09035701751708984,47.100425720214844,47.26974654197693
SwedishLeaf,TIME+DWT+DCT+HLB+DT1,0.9709866666666666,0.005750114974695925,0.9714289201467994,0.3535178279876709,0.49211764335632324,0.16114261945088704,39.996687173843384,40.12424159049988
Symbols,TIME+DWT+DCT+HLB+DT1,0.9710887772194304,0.011687952026584842,0.9714221996531299,0.7300975195566813,0.02448853651682536,0.23554032643636066,41.247678995132446,41.426236391067505
SyntheticControl,TIME+DWT+DCT+HLB+DT1,0.9957777777777774,0.003435472185275633,0.9957739531322747,0.18230557759602864,0.28306183020273845,0.07459947268168131,22.381319284439087,22.45139241218567
ToeSegmentation1,TIME+DWT+DCT+HLB+DT1,0.9425438596491226,0.01827251447015627,0.9423539562586992,0.18918067296346028,0.043958314259847,0.05455207824707031,12.09503960609436,12.18940806388855
ToeSegmentation2,TIME+DWT+DCT+HLB+DT1,0.9523076923076921,0.020293701474266033,0.9265268605521434,0.16008501529693603,0.03747567335764567,0.03303963343302409,9.736074924468994,9.799085140228271
Trace,TIME+DWT+DCT+HLB+DT1,1.0,0.0,1.0,0.15703859170277915,0.10113155841827393,0.024573516845703126,11.434031009674072,11.512798070907593
TwoLeadECG,TIME+DWT+DCT+HLB+DT1,0.993268949370793,0.0073920579106321865,0.9932670579907333,0.29678411801656085,0.020677590370178224,0.2873545010884603,27.988505840301514,28.097084999084473
TwoPatterns,TIME+DWT+DCT+HLB+DT1,0.9978833333333335,0.0007266743118863894,0.9978866128392763,1.3100357818603514,1.1341015577316285,0.9064112583796183,142.16836285591125,142.874915599823
UMD,TIME+DWT+DCT+HLB+DT1,0.9914351851851855,0.004274579933476728,0.9914186567387904,0.11250404675801595,0.043127044041951494,0.0392682154973348,8.754701137542725,8.794349193572998
UWaveGestureLibraryAll,TIME+DWT+DCT+HLB+DT1,0.9790247533966127,0.002716971444408655,0.9788794298230188,5.952605681419373,0.9948623100916545,0.8213664372762044,270.58066034317017,271.38599705696106
UWaveGestureLibraryX,TIME+DWT+DCT+HLB+DT1,0.8676903033686955,0.0054056617987133515,0.8642548815672856,2.442147223154704,0.9904961585998535,0.8197051286697388,165.5057451725006,165.920236825943
UWaveGestureLibraryY,TIME+DWT+DCT+HLB+DT1,0.8006514051740183,0.006271963177381761,0.7986608785522507,2.4490755446751917,0.9882534980773926,0.8231480598449707,165.82024240493774,166.23828649520874
UWaveGestureLibraryZ,TIME+DWT+DCT+HLB+DT1,0.8085241019914385,0.005992262864944361,0.8061150606175055,2.4748494561513263,1.0076753139495849,0.8345164616902669,167.6974971294403,168.9902045726776
Wafer,TIME+DWT+DCT+HLB+DT1,0.9993402552455115,0.0006240264649254588,0.9982808187423218,2.2528870026270544,1.111279058456421,1.3628001451492309,200.0086350440979,200.3482744693756
Wine,TIME+DWT+DCT+HLB+DT1,0.924074074074074,0.062039340292603634,0.9237763132618528,0.10528647899627686,0.06538897355397542,0.01580226421356201,7.880453586578369,7.902155160903931
WordSynonyms,TIME+DWT+DCT+HLB+DT1,0.7725705329153604,0.013078463578822388,0.6565516460905703,0.5165854183832804,0.2589108149210612,0.15229876836140951,39.49249196052551,39.72069573402405
Worms,TIME+DWT+DCT+HLB+DT1,0.7346320346320347,0.041161979755904125,0.7152717002091386,0.417872215906779,0.16457557678222656,0.019359064102172852,24.493911266326904,24.643829584121704
WormsTwoClass,TIME+DWT+DCT+HLB+DT1,0.7670995670995674,0.040784643162991775,0.7577198335616658,0.41285679499308275,0.15874746640523274,0.017829553286234538,24.209110736846924,24.397740602493286
Yoga,TIME+DWT+DCT+HLB+DT1,0.9255333333333335,0.0066491993391574475,0.9250406467930798,2.1819114001592,0.2919023593266805,0.6872328519821167,123.0988073348999,124.3070776462555
